id;nombre;descripcion;propiedad;estado
1;rampage nasalise;dock sharply;exciting rarely;ACTIVO
2;even;comfortable gadzooks;pace;ACTIVO
3;whole scorpion;meh;hourly paintwork versus;INACTIVO
4;rub;meh career potty;printer circa nectar;ACTIVO
5;flame putrid since;twin pivot why;careless;ACTIVO
6;sunny;yuck desert peek;drat;ACTIVO
7;on;boastfully;busy crinkle;INACTIVO
8;where;kookily animate furthermore;tub furiously since;ACTIVO
9;while plush play;grandpa accidentally ultimately;defiantly draft;ACTIVO
10;concerning wan;inasmuch wonderfully adorn;to gee wildly;ACTIVO
