id;codigo;descripcion
1;9f27b9b4-2d4c-4510-80bf-e6105162a0fd;deeply aha
2;2b31ab65-4347-4135-925e-dad8b68a49e6;once anenst
3;85b2e7a9-8681-4896-9b4e-d879ee17e0d3;wharf
4;00c4e539-44f4-4353-b4d1-11a1a9870402;fake dapper
5;661aef30-cee6-4cb1-a879-b2e35f616361;gosh pants duh
6;b69223c3-9a81-43a3-842a-f7d379fb463d;nor
7;0d681b6f-5168-4438-847d-4dc27358d2f4;nearly
8;e7506ddc-8d53-4e1a-be29-7aad4cb132e6;mysteriously
9;03e49818-d66a-4e34-a8d9-cc3d8d790bb6;before
10;258fcdcf-969a-4c84-bf8f-2e5b4ad3c9af;wallet
